Time,2NDFLO::Des Heat Load [W],2NDFLO:JAKARTA SOEKARNO HATTA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],2NDFLO::Des Heat Mass Flow [kg/s],2NDFLO:JAKARTA SOEKARNO HATTA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],3RDFLO:JAKARTA SOEKARNO HATTA ANN HTG 99% CONDNS DB:Des Heat Load [W],3RDFLO:JAKARTA SOEKARNO HATTA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],3RDFLO:JAKARTA SOEKARNO HATTA ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],3RDFLO:JAKARTA SOEKARNO HATTA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,3.641035E+03,0.000000E+00,2.809796E-01,1.283226E+02,3.731837E+03,6.623956E-03,2.879920E-01
00:20:00,0.000000E+00,3.635937E+03,0.000000E+00,2.805857E-01,1.282617E+02,3.721751E+03,6.620813E-03,2.872132E-01
00:30:00,0.000000E+00,3.629196E+03,0.000000E+00,2.800643E-01,1.282013E+02,3.710283E+03,6.617697E-03,2.863270E-01
00:40:00,0.000000E+00,3.621244E+03,0.000000E+00,2.794487E-01,1.281413E+02,3.697840E+03,6.614604E-03,2.853646E-01
00:50:00,0.000000E+00,3.612265E+03,0.000000E+00,2.787532E-01,1.280819E+02,3.684596E+03,6.611537E-03,2.843397E-01
01:00:00,0.000000E+00,3.602504E+03,0.000000E+00,2.779970E-01,1.280229E+02,3.670777E+03,6.608492E-03,2.832702E-01
01:10:00,0.000000E+00,3.600026E+03,0.000000E+00,2.778030E-01,1.280062E+02,3.664427E+03,6.607632E-03,2.827771E-01
01:20:00,0.000000E+00,3.597390E+03,0.000000E+00,2.775967E-01,1.279896E+02,3.658093E+03,6.606780E-03,2.822853E-01
01:30:00,0.000000E+00,3.594495E+03,0.000000E+00,2.773714E-01,1.279732E+02,3.651672E+03,6.605937E-03,2.817878E-01
01:40:00,0.000000E+00,3.591395E+03,0.000000E+00,2.771312E-01,1.279570E+02,3.645207E+03,6.605100E-03,2.812880E-01
01:50:00,0.000000E+00,3.588128E+03,0.000000E+00,2.768788E-01,1.279409E+02,3.638729E+03,6.604272E-03,2.807878E-01
02:00:00,0.000000E+00,3.584745E+03,0.000000E+00,2.766177E-01,1.279250E+02,3.632278E+03,6.603450E-03,2.802900E-01
02:10:00,0.000000E+00,3.581224E+03,0.000000E+00,2.763460E-01,1.279092E+02,3.625830E+03,6.602634E-03,2.797925E-01
02:20:00,0.000000E+00,3.577590E+03,0.000000E+00,2.760656E-01,1.278935E+02,3.619406E+03,6.601826E-03,2.792968E-01
02:30:00,0.000000E+00,3.573865E+03,0.000000E+00,2.757782E-01,1.278779E+02,3.613019E+03,6.601023E-03,2.788039E-01
02:40:00,0.000000E+00,3.570067E+03,0.000000E+00,2.754851E-01,1.278625E+02,3.606684E+03,6.600227E-03,2.783151E-01
02:50:00,0.000000E+00,3.566216E+03,0.000000E+00,2.751880E-01,1.278471E+02,3.600408E+03,6.599436E-03,2.778309E-01
03:00:00,0.000000E+00,3.562323E+03,0.000000E+00,2.748876E-01,1.278319E+02,3.594205E+03,6.598651E-03,2.773523E-01
03:10:00,0.000000E+00,3.558353E+03,0.000000E+00,2.745812E-01,1.278168E+02,3.588036E+03,6.597871E-03,2.768763E-01
03:20:00,0.000000E+00,3.554320E+03,0.000000E+00,2.742701E-01,1.278018E+02,3.581908E+03,6.597096E-03,2.764035E-01
03:30:00,0.000000E+00,3.550224E+03,0.000000E+00,2.739541E-01,1.277868E+02,3.575825E+03,6.596327E-03,2.759341E-01
03:40:00,0.000000E+00,3.546080E+03,0.000000E+00,2.736343E-01,1.277720E+02,3.569788E+03,6.595562E-03,2.754683E-01
03:50:00,0.000000E+00,3.541888E+03,0.000000E+00,2.733108E-01,1.277573E+02,3.563801E+03,6.594802E-03,2.750064E-01
04:00:00,0.000000E+00,3.537660E+03,0.000000E+00,2.729846E-01,1.277426E+02,3.557868E+03,6.594047E-03,2.745486E-01
04:10:00,0.000000E+00,3.533449E+03,0.000000E+00,2.726597E-01,1.277281E+02,3.552038E+03,6.593296E-03,2.740988E-01
04:20:00,0.000000E+00,3.529252E+03,0.000000E+00,2.723359E-01,1.277136E+02,3.546302E+03,6.592550E-03,2.736562E-01
04:30:00,0.000000E+00,3.525079E+03,0.000000E+00,2.720138E-01,1.276992E+02,3.540661E+03,6.591808E-03,2.732209E-01
