Time,3RDFLO:JAKARTA SOEKARNO HATTA ANN HTG 99% CONDNS DB:Des Heat Load [W],3RDFLO:JAKARTA SOEKARNO HATTA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],3RDFLO:JAKARTA SOEKARNO HATTA ANN HTG 99% CONDNS DB:Des Heat Mass Flow [kg/s],3RDFLO:JAKARTA SOEKARNO HATTA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.425913E+02,1.432054E+03,7.360547E-03,1.105069E-01
00:20:00,1.424037E+02,1.431749E+03,7.350863E-03,1.104835E-01
00:30:00,1.422170E+02,1.430118E+03,7.341232E-03,1.103577E-01
00:40:00,1.420315E+02,1.427518E+03,7.331654E-03,1.101570E-01
00:50:00,1.418469E+02,1.424114E+03,7.322128E-03,1.098942E-01
01:00:00,1.416633E+02,1.420119E+03,7.312654E-03,1.095858E-01
01:10:00,1.416499E+02,1.416995E+03,7.311965E-03,1.093446E-01
01:20:00,1.416367E+02,1.413578E+03,7.311283E-03,1.090809E-01
01:30:00,1.416235E+02,1.409915E+03,7.310607E-03,1.087981E-01
01:40:00,1.416105E+02,1.406086E+03,7.309936E-03,1.085026E-01
01:50:00,1.415976E+02,1.402128E+03,7.309270E-03,1.081971E-01
02:00:00,1.415848E+02,1.398096E+03,7.308610E-03,1.078859E-01
02:10:00,1.415720E+02,1.393972E+03,7.307953E-03,1.075677E-01
02:20:00,1.415594E+02,1.389793E+03,7.307301E-03,1.072452E-01
02:30:00,1.415468E+02,1.385574E+03,7.306653E-03,1.069196E-01
02:40:00,1.415343E+02,1.381338E+03,7.306008E-03,1.065928E-01
02:50:00,1.415218E+02,1.377098E+03,7.305368E-03,1.062656E-01
03:00:00,1.415095E+02,1.372870E+03,7.304730E-03,1.059394E-01
03:10:00,1.414972E+02,1.368621E+03,7.304096E-03,1.056115E-01
03:20:00,1.414849E+02,1.364365E+03,7.303464E-03,1.052831E-01
03:30:00,1.414727E+02,1.360105E+03,7.302835E-03,1.049544E-01
03:40:00,1.414606E+02,1.355847E+03,7.302210E-03,1.046258E-01
03:50:00,1.414485E+02,1.351594E+03,7.301586E-03,1.042977E-01
04:00:00,1.414365E+02,1.347353E+03,7.300965E-03,1.039704E-01
04:10:00,1.414245E+02,1.343166E+03,7.300346E-03,1.036473E-01
04:20:00,1.414125E+02,1.339028E+03,7.299730E-03,1.033280E-01
04:30:00,1.414006E+02,1.334944E+03,7.299116E-03,1.030129E-01
04:40:00,1.413887E+02,1.330920E+03,7.298503E-03,1.027024E-01
04:50:00,1.413769E+02,1.326956E+03,7.297893E-03,1.023965E-01
05:00:00,1.413651E+02,1.323057E+03,7.297285E-03,1.020957E-01
05:10:00,1.413533E+02,1.319329E+03,7.296678E-03,1.018080E-01
